ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
3;1;Sartenes;2;0;Sartenes;Sartenes;Sartenes;Sartenes;" ";" "
4;1;"Packs especiales";3;0;"Packs especiales";"Packs especiales";"Packs especiales";"Packs especiales";" ";https://ferreteria.es/media/catalog/category/packs-especiales_2.jpg
5;1;"Packs Castey";4;0;"Packs Castey";"Packs Castey";"Packs Castey";"Packs Castey";" ";
6;1;"Packs Bra";4;0;"Packs Bra";"Packs Bra";"Packs Bra";"Packs Bra";" ";
7;1;"Packs Woll";4;0;"Packs Woll";"Packs Woll";"Packs Woll";"Packs Woll";" ";
8;1;"Packs Le Creuset";4;0;"Packs Le Creuset";"Packs Le Creuset";"Packs Le Creuset";"Packs Le Creuset";" ";
9;1;"Conjuntos de sartenes";3;0;"Conjuntos de sartenes";"Conjuntos de sartenes";"Conjuntos de sartenes";"Conjuntos de sartenes";" ";https://ferreteria.es/media/catalog/category/conjuntos-de-sartenes.jpg
10;1;"Sartenes para gas e inducción";3;0;"Sartenes para gas e inducción";"Sartenes para gas e inducción";"Sartenes para gas e inducción";"Sartenes para gas e inducción";" ";https://ferreteria.es/media/catalog/category/sartenes-de-induccion.jpg
11;1;"Sartenes para gas y vitro";3;0;"Sartenes para gas y vitro";"Sartenes para gas y vitro";"Sartenes para gas y vitro";"Sartenes para gas y vitro";" ";https://ferreteria.es/media/catalog/category/sartenes-para-gas-y-vitroceramica.jpg
12;1;"Sartenes de titanio";3;0;"Sartenes de titanio";"Sartenes de titanio";"Sartenes de titanio";"Sartenes de titanio";" ";https://ferreteria.es/media/catalog/category/sarten-titanio-induction-woll.jpg
13;1;"Sartenes de hierro";3;0;"Sartenes de hierro";"Sartenes de hierro";"Sartenes de hierro";"Sartenes de hierro";" ";https://ferreteria.es/media/catalog/category/sarten-de-hierro-de-buyer_3.jpg
14;1;"Woks y creperas";3;0;"Woks y creperas";"Woks y creperas";"Woks y creperas";"Woks y creperas";" ";https://ferreteria.es/media/catalog/category/woks.jpg
15;1;Asadores;3;0;Asadores;Asadores;Asadores;Asadores;" ";https://ferreteria.es/media/catalog/category/asador_castey_induccion_40cm_mango_desmontable_negro.jpg
16;1;Grills;3;0;Grills;Grills;Grills;Grills;" ";https://ferreteria.es/media/catalog/category/grill-castey-fundix-con-mango-kiwi.jpg
17;1;"Planchas y asadores bandeja";3;0;"Planchas y asadores bandeja";"Planchas y asadores bandeja";"Planchas y asadores bandeja";"Planchas y asadores bandeja";" ";https://ferreteria.es/media/catalog/category/planchas-y-asadores-bandeja.jpg
18;1;"Protectores de sartenes";3;0;"Protectores de sartenes";"Protectores de sartenes";"Protectores de sartenes";"Protectores de sartenes";" ";https://ferreteria.es/media/catalog/category/protectores-de-sartenes.jpg
19;1;"Tapas para sartenes";3;0;"Tapas para sartenes";"Tapas para sartenes";"Tapas para sartenes";"Tapas para sartenes";" ";https://ferreteria.es/media/catalog/category/tapas-para-sartenes.jpg
20;1;"Ollas y cacerolas";2;0;"Ollas y cacerolas";"Ollas y cacerolas";"Ollas y cacerolas";"Ollas y cacerolas";" ";" "
21;1;Ollas;20;0;Ollas;Ollas;Ollas;Ollas;" ";
22;1;"Ollas a presión";20;0;"Ollas a presión";"Ollas a presión";"Ollas a presión";"Ollas a presión";" ";
23;1;Cacerolas;20;0;Cacerolas;Cacerolas;Cacerolas;Cacerolas;" ";
24;1;Cocottes;20;0;Cocottes;Cocottes;Cocottes;Cocottes;" ";
25;1;"Cazuelas de barro";20;0;"Cazuelas de barro";"Cazuelas de barro";"Cazuelas de barro";"Cazuelas de barro";" ";
26;1;"Paellas y paelleras";20;0;"Paellas y paelleras";"Paellas y paelleras";"Paellas y paelleras";"Paellas y paelleras";" ";
27;1;"Paellas tradicionales";26;0;"Paellas tradicionales";"Paellas tradicionales";"Paellas tradicionales";"Paellas tradicionales";" ";https://ferreteria.es/media/catalog/category/sarten-titanio-induction-woll.jpg
28;1;"Paelleras eléctricas";26;0;"Paelleras eléctricas";"Paelleras eléctricas";"Paelleras eléctricas";"Paelleras eléctricas";" ";https://ferreteria.es/media/catalog/category/sarten-de-hierro-de-buyer_3.jpg
29;1;"Tapas para paelleras";26;0;"Tapas para paelleras";"Tapas para paelleras";"Tapas para paelleras";"Tapas para paelleras";" ";https://ferreteria.es/media/catalog/category/woks.jpg
30;1;Trébedes;26;0;Trébedes;Trébedes;Trébedes;Trébedes;" ";https://ferreteria.es/media/catalog/category/asador_castey_induccion_40cm_mango_desmontable_negro.jpg
31;1;"Accesorios de paelleros";26;0;"Accesorios de paelleros";"Accesorios de paelleros";"Accesorios de paelleros";"Accesorios de paelleros";" ";https://ferreteria.es/media/catalog/category/grill-castey-fundix-con-mango-kiwi.jpg
