ID;Active;Name;Categories;Price;Tax;"Wholesale price";OnSale;Discount;DiscountPercent;DiscountFrom;DiscountTo;Reference;SupplierReference;Supplier;Manufacturer;Ean13;Upc;Ecotax;Width;Height;Depth;Weight;Quantity;MinimalQuantity;Visibility;AdditionalShippingCost;Unity;UnityPrice;ShortDescription;Description;Tags;Metatitle;MetaKeywords;MetaDescription;UrlRewritten;TextStock;TextBackorder;Avaiable;ProductAvaiableDate;ProductCreationDate;ShowPrice;ImageUrls;DeleteExistingImages;Feature;AvaiableOnline;Condition;Customizable;Uploadable;TextFields;OutStock;IdNameShop;AdvancedStockManagement;DependsOnStock;Warehouse
4001;1;;246;;31;;;;;;;4001;;;;;;;;;;;100;1;both;;;;"Escoba de polipropileno 29 dientes con mango de madera.
Escoba con 29 dientes, de 45 centímetros.
El mango es de madera. Telescópico d...";;;;;"Escoba de polipropileno 29 dientes con mango de madera.
Escoba con 29 dientes, de 45 centímetros.
El mango es de madera. Telescópico d...";;;;;;;;;;;1;new;0;0;0;0;1;;;
4002;1;;246;;31;;;;;;;4002;;;;;;;;;;;100;1;both;;;;"Escoba de acero con 21 dientes de forma redondeada.
Medidas dientes: 43,5x37 centímetros.
Su mango es de madera con una extensión de 1...";;;;;"Escoba de acero con 21 dientes de forma redondeada.
Medidas dientes: 43,5x37 centímetros.
Su mango es de madera con una extensión de 1...";;;;;;;;;;;1;new;0;0;0;0;1;;;
4003;1;;246;;31;;;;;;;4003;;;;;;;;;;;100;1;both;;;;"Escoba de acero 21 dientes planos con mango de madera.
Escoba de acero con 21 dientes planos con medidas de 47x33 centímetros.
El mango es de...";;;;;"Escoba de acero 21 dientes planos con mango de madera.
Escoba de acero con 21 dientes planos con medidas de 47x33 centímetros.
El mango es de...";;;;;;;;;;;1;new;0;0;0;0;1;;;
4004;1;;247;;31;;;;;;;4004;;;;;;;;;;;100;1;both;;;;"Serrucho de poda curvo Bellota 14.
Modelo: 4581-14. 
Marca: Bellota.
Herramienta manual para la poda....";;;;;"Serrucho de poda curvo Bellota 14.
Modelo: 4581-14. 
Marca: Bellota.
Herramienta manual para la poda....";;;;;;;;;;;1;new;0;0;0;0;1;;;
4005;1;;247;;31;;;;;;;4005;;;;;;;;;;;100;1;both;;;;"Arco tronzar con hoja diente americano Drako 30-762mm.
Con hoja de sierra de diente americano.
De la marca Drako.
Modelo: 30""-762mm.&nbsp...";;;;;"Arco tronzar con hoja diente americano Drako 30-762mm.
Con hoja de sierra de diente americano.
De la marca Drako.
Modelo: 30""-762mm.&nbsp...";;;;;;;;;;;1;new;0;0;0;0;1;;;
4006;1;;247;;31;;;;;;;4006;;;;;;;;;;;100;1;both;;;;"Hoja para sierra tronzar diente americano Drako 21-553mm.
Modelo: 21""-553mm.
Marca: Drako....";;;;;"Hoja para sierra tronzar diente americano Drako 21-553mm.
Modelo: 21""-553mm.
Marca: Drako....";;;;;;;;;;;1;new;0;0;0;0;1;;;
4007;1;;247;;31;;;;;;;4007;;;;;;;;;;;100;1;both;;;;"Hoja para sierra tronzar diente americano Drako 24-610mm.
Modelo: 24""-610mm.
Marca: Drako.
...";;;;;"Hoja para sierra tronzar diente americano Drako 24-610mm.
Modelo: 24""-610mm.
Marca: Drako.
...";;;;;;;;;;;1;new;0;0;0;0;1;;;
4008;1;;247;;31;;;;;;;4008;;;;;;;;;;;100;1;both;;;;"Hoja para sierra tronzar diente americano Drako 30-762mm.
Modelo: 30""-762mm.
Marca: Drako....";;;;;"Hoja para sierra tronzar diente americano Drako 30-762mm.
Modelo: 30""-762mm.
Marca: Drako....";;;;;;;;;;;1;new;0;0;0;0;1;;;
4009;1;;247;;31;;;;;;;4009;;;;;;;;;;;100;1;both;;;;"Hoja para sierra tronzar diente normal Drako 21-533mm.
Modelo: 21""-533mm.
Marca: Drako....";;;;;"Hoja para sierra tronzar diente normal Drako 21-533mm.
Modelo: 21""-533mm.
Marca: Drako....";;;;;;;;;;;1;new;0;0;0;0;1;;;
4010;1;;247;;31;;;;;;;4010;;;;;;;;;;;100;1;both;;;;"Hoja para sierra tronzar diente normal 24-610mm.
Modelo: 24""-533mm.
Marca: Drako....";;;;;"Hoja para sierra tronzar diente normal 24-610mm.
Modelo: 24""-533mm.
Marca: Drako....";;;;;;;;;;;1;new;0;0;0;0;1;;;
