ID;Active;Name;Categories;Price;Tax;"Wholesale price";OnSale;Discount;DiscountPercent;DiscountFrom;DiscountTo;Reference;SupplierReference;Supplier;Manufacturer;Ean13;Upc;Ecotax;Width;Height;Depth;Weight;Quantity;MinimalQuantity;Visibility;AdditionalShippingCost;Unity;UnityPrice;ShortDescription;Description;Tags;Metatitle;MetaKeywords;MetaDescription;UrlRewritten;TextStock;TextBackorder;Avaiable;ProductAvaiableDate;ProductCreationDate;ShowPrice;ImageUrls;DeleteExistingImages;Feature;AvaiableOnline;Condition;Customizable;Uploadable;TextFields;OutStock;IdNameShop;AdvancedStockManagement;DependsOnStock;Warehouse
1;1;"Marqués de Cáceres Rosado 2015";2,0;"5,50 ";31;"5,50 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Marqués de Cáceres Rosado 2015 tiene todos los atributos de un buen rosado: nariz intensa y compleja, frescura y sabores frutales, además de cierta amplitud.";"Información generalLos rosados han vuelto a ocupar el puesto que se merecen, a ser apreciados y demandados. Y es que el nivel de su calidad ha aumentado en los últimos años. Y no podía ser menos en Rioja, donde existe también una larga tradicional en rosados. Aquí, una de las bodegas más prestigiosas presenta su propuesta en rosa: Marqués de Cáceres Rosado 2015.Marqués de Cáceres está entre las grandísimas marcas de Rioja y del mundo. La bodega, fundada en 1970, fue pionera en la renovación de los vinos riojanos, introduciendo técnicas como el uso de barricas nuevas en lugar de barricas viejas, y roble francés en lugar del tradicional roble americano. Una bodega grande, con una excepcional proyección internacional (sus vinos llegan a más de 130 países), capaz de elaborar vinos tan cuidados y selectos como una bodega artesanal. Marqués de Cáceres Rosado 2015 está hecho principalmente con tempranillo (uva emblema de Rioja) de parcelas seleccionadas ubicadas en las zonas más frescas de Cenicero y Rioja Alavesa y vendimiadas de forma manual. Para amantes de los vinos afrutados. Ideal en los aperitivos: charcutería, quesos y patés. En la comida maridará a la perfección con arroces, pastas, paellas mixtas, pescados al horno y carnes blancas como pollo a la naranja.";Marqués-de-Cáceres-Rosado-2015;Marqués-de-Cáceres-Rosado-2015;Marqués-de-Cáceres-Rosado-2015;Marqués-de-Cáceres-Rosado-2015;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/m/a/marques-de-caceres-rosado-2015-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
2;1;"Lorea Blanco 2014";2,0;"6,75 ";31;"6,75 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"No se pierdan Lorea 2014, un monovarietal de viura, uva emblemática de los blancos riojanos. Elegante, delicado, sutil y exclusivo, está diseñado por CVNE para conmemorar el centenario del lanzamiento de su marca Monopole.";"Información generalAunque son los tintos los vinos más aclamados de la D.O.Ca. Rioja, en esta región también se han elaborado históricamente blancos de calidad como complemento perfecto. La viura es la uva protagonista de los blancos riojanos, como en este Lorea 2014, de edición limitada. La Compañía Vinícola del Norte de España (CVNE) es una de las grandes firmas de Rioja y un ejemplo para el sector del vino internacional. Desde sus comienzos, en las últimas décadas del siglo XIX, esta casa ha buscado en sus productos la diferenciación y hoy en día puede presumir de haber llevado a lo más alto el buen nombre del vino español. Como ejemplo, su Imperial Gran Reserva 2004 fue elegido “Mejor Vino del Mundo” por la influyente revista estadounidense Wine Spectator en 2013. En 2015 CVNE celebra el centenario del lanzamiento de uno de sus vinos más célebres: Monopole. Para conmemorarlo, ha creado una edición limitada y exclusiva con etiquetas diseñadas por el prestigioso pintor Eduardo Arroyo, a la que pertenece este Lorea 2014. Ideal para disfrutar con un lenguado con salsa de gam¬bas o con un arroz caldoso con berberechos y chirlas.";Lorea-Blanco-2014;Lorea-Blanco-2014;Lorea-Blanco-2014;Lorea-Blanco-2014;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/l/o/lorea-blanco-2014-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
3;1;"Muga Rosado 2015 ";2,0;"7,00 ";31;"7,00 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"No se pierdan Lorea 2014, un monovarietal de viura, uva emblemática de los blancos riojanos. Elegante, delicado, sutil y exclusivo, está diseñado por CVNE para conmemorar el centenario del lanzamiento de su marca Monopole.";"Información generalAunque son los tintos los vinos más aclamados de la D.O.Ca. Rioja, en esta región también se han elaborado históricamente blancos de calidad como complemento perfecto. La viura es la uva protagonista de los blancos riojanos, como en este Lorea 2014, de edición limitada. La Compañía Vinícola del Norte de España (CVNE) es una de las grandes firmas de Rioja y un ejemplo para el sector del vino internacional. Desde sus comienzos, en las últimas décadas del siglo XIX, esta casa ha buscado en sus productos la diferenciación y hoy en día puede presumir de haber llevado a lo más alto el buen nombre del vino español. Como ejemplo, su Imperial Gran Reserva 2004 fue elegido “Mejor Vino del Mundo” por la influyente revista estadounidense Wine Spectator en 2013. En 2015 CVNE celebra el centenario del lanzamiento de uno de sus vinos más célebres: Monopole. Para conmemorarlo, ha creado una edición limitada y exclusiva con etiquetas diseñadas por el prestigioso pintor Eduardo Arroyo, a la que pertenece este Lorea 2014. Ideal para disfrutar con un lenguado con salsa de gam¬bas o con un arroz caldoso con berberechos y chirlas.";Muga-Rosado-2015-;Muga-Rosado-2015-;Muga-Rosado-2015-;Muga-Rosado-2015-;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/l/o/lorea-blanco-2014-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
4;1;"Lorea Tinto Crianza 2012";2,0;"7,30 ";31;"7,30 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Lorea Crianza 2012 es un tinto riojano diseñado en exclusiva para el Club por la prestigiosa bodega CVNE. Ejemplo de equilibrio entre las notas frutales y las aportadas por una magnífica crianza en madera.";"Información generalLorea Crianza 2012 forma parte de una serie limitada de CVNE creada para celebrar el centenario del lanzamiento de su célebre vino Monopole. Lorea Crianza 2012 está diseñado con las uvas tempranillo (mayoritaria), garnacha y mazuelo, y recibió una crianza de 12 meses en roble americano. Además, luce una etiqueta especial diseñada por el prestigioso pintor Eduardo Arroyo. La Compañía Vinícola del Norte de España – CVNE (1879) es una de las bodegas pioneras en la elaboración y embotellado de vinos riojanos y una de las grandes firmas del panorama vinícola español. Situada en el histórico Barrio de la Estación de Haro, corazón del vino riojano, CVNE ha buscado desde sus comienzos la diferenciación y hoy en día presume de haber llevado a lo más alto el buen nombre del vino español. Como ejemplo, su Imperial Gran Reserva 2004 fue elegido “Mejor Vino del Mundo” por la influyente revista estadounidense Wine Spectator en 2013.";Lorea-Tinto-Crianza-2012;Lorea-Tinto-Crianza-2012;Lorea-Tinto-Crianza-2012;Lorea-Tinto-Crianza-2012;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/l/o/lorea-crianza-2012-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
5;1;"Monte Real de Familia Tinto Reserva 2010";2,0;"8,00 ";31;"8,00 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Lorea Crianza 2012 es un tinto riojano diseñado en exclusiva para el Club por la prestigiosa bodega CVNE. Ejemplo de equilibrio entre las notas frutales y las aportadas por una magnífica crianza en madera.";"Información generalLorea Crianza 2012 forma parte de una serie limitada de CVNE creada para celebrar el centenario del lanzamiento de su célebre vino Monopole. Lorea Crianza 2012 está diseñado con las uvas tempranillo (mayoritaria), garnacha y mazuelo, y recibió una crianza de 12 meses en roble americano. Además, luce una etiqueta especial diseñada por el prestigioso pintor Eduardo Arroyo. La Compañía Vinícola del Norte de España – CVNE (1879) es una de las bodegas pioneras en la elaboración y embotellado de vinos riojanos y una de las grandes firmas del panorama vinícola español. Situada en el histórico Barrio de la Estación de Haro, corazón del vino riojano, CVNE ha buscado desde sus comienzos la diferenciación y hoy en día presume de haber llevado a lo más alto el buen nombre del vino español. Como ejemplo, su Imperial Gran Reserva 2004 fue elegido “Mejor Vino del Mundo” por la influyente revista estadounidense Wine Spectator en 2013.";Monte-Real-de-Familia-Tinto-Reserva-2010;Monte-Real-de-Familia-Tinto-Reserva-2010;Monte-Real-de-Familia-Tinto-Reserva-2010;Monte-Real-de-Familia-Tinto-Reserva-2010;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/l/o/lorea-crianza-2012-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
6;1;"Marqués de Villamagna Tinto Reserva 2010";2,0;"8,00 ";31;"8,00 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Lorea Crianza 2012 es un tinto riojano diseñado en exclusiva para el Club por la prestigiosa bodega CVNE. Ejemplo de equilibrio entre las notas frutales y las aportadas por una magnífica crianza en madera.";"Información generalLorea Crianza 2012 forma parte de una serie limitada de CVNE creada para celebrar el centenario del lanzamiento de su célebre vino Monopole. Lorea Crianza 2012 está diseñado con las uvas tempranillo (mayoritaria), garnacha y mazuelo, y recibió una crianza de 12 meses en roble americano. Además, luce una etiqueta especial diseñada por el prestigioso pintor Eduardo Arroyo. La Compañía Vinícola del Norte de España – CVNE (1879) es una de las bodegas pioneras en la elaboración y embotellado de vinos riojanos y una de las grandes firmas del panorama vinícola español. Situada en el histórico Barrio de la Estación de Haro, corazón del vino riojano, CVNE ha buscado desde sus comienzos la diferenciación y hoy en día presume de haber llevado a lo más alto el buen nombre del vino español. Como ejemplo, su Imperial Gran Reserva 2004 fue elegido “Mejor Vino del Mundo” por la influyente revista estadounidense Wine Spectator en 2013.";Marqués-de-Villamagna-Tinto-Reserva-2010;Marqués-de-Villamagna-Tinto-Reserva-2010;Marqués-de-Villamagna-Tinto-Reserva-2010;Marqués-de-Villamagna-Tinto-Reserva-2010;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/l/o/lorea-crianza-2012-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
7;1;"Valserrano Tinto Crianza 2012";2,0;"8,10 ";31;"8,10 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Valserrano Crianza 2012 es un rioja moderno y de producción limitada, respetuoso con los valores que le hicieron famoso hace más de un siglo. A un precio sensacional.";"Información generalViñedos y Bodegas de La Marquesa es una de las bodegas con más solera de Rioja Alavesa, cuyos orígenes se remontan a 1880. Un magnífico ejemplo de bodega familiar en la que conviven la tradición (presente en los calados subterráneos centenarios) y la más puntera tecnología al servicio de la enología. De esta emblemática bodega presentamos Valserrano Crianza 2012.Viñedos y Bodegas de La Marquesa (1880) fue fundada por Francisco Javier Solano y Eulate “Marqués de la Solana” en Villabuena de Álava. Francisco Javier Solano y Eulate poseía una buena extensión de viñedos en Rioja Alavesa, y asesorado por el célebre enólogo francés Pineau, decidió elaborar vinos de calidad con sus frutos siguiendo los métodos del Medoc. Rápidamente, sus vinos comenzaron a cosechar reconocimientos internacionales.Viñedos y Bodegas de La Marquesa continúa en manos de la familia fundadora, representada por la cuarta y quinta generación. Cuenta con 65 hectáreas de viñedos propios a escasa distancia de la bodega, en el municipio de Villabuena, en laderas que descienden desde la Sierra de Cantabria hacia el río Ebro, con una edad media superior a los 30 años. Con estos viñedos elabora Valserrano Crianza 2012, un rioja de corte moderno y de producción limitada, perfeccionado con una crianza de 18 meses en barricas.";Valserrano-Tinto-Crianza-2012;Valserrano-Tinto-Crianza-2012;Valserrano-Tinto-Crianza-2012;Valserrano-Tinto-Crianza-2012;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/v/a/valserrano-2012.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
8;1;"Finca La Emperatriz Edición Limitada Tinto Reserva 2011";2,0;"8,15 ";31;"8,15 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Bodegas La Emperatriz es una de las nuevas estrellas del vino riojano. Recomendamos su Finca La Emperatriz Edición Limitada Reserva 2011, un gran vino de finca, nacido de viñedos viejos y de cosecha Excelente.";"Información generalBodegas La Emperatriz es un proyecto vitivinícola creado hace dos décadas por los hermanos Eduardo y Víctor Hernáiz que, a una velocidad vertiginosa, se ha posicionado como uno de los valores más destacados del panorama del vino nacional. Este exquisito Finca La Emperatriz Edición Limitada Reserva 2011 es una de sus últimas creaciones.  Calificada como Excelente, la cosecha 2011 pasará a la historia como una de las mejores en la D.O.Ca. Rioja. De esta añada nace Finca La Emperatriz Edición Limitada Reserva 2011, un magnífico tinto resultado de la meticulosa parcelación de una finca privilegiado, la Finca La Emperatriz. Bodegas La Emperatriz debe su nombre a Eugenia de Montijo, esposa de Napoleón III y Emperatriz de Francia, poseedora de una finca en Rioja con viñedos excepcionales (en 1878 Eugenia de Montijo fue premiada en la Exposición Universal de París al conquistar al jurado con un vino elaborado en esta finca). En 1996 los hermanos Eduardo y Víctor Hernáiz adquirieron la propiedad, y así comienza a escribirse la historia moderna de Bodegas La Emperatriz.  Su principal baza es la histórica Finca La Emperatriz, situada en Baños de Rioja, entre las sierras de La Demanda y Cantabria, con 101 hectáreas de viñedo que ha sido parcelado con precisión para dar mayor personalidad a cada una de las variedades cultivadas. Una vez en bodega, los hermanos Hernáiz apuestan por una enología de vanguardia y respetuosa con el ‘terroir’. Este Finca La Emperatriz Edición Limitada Reserva es una edición especial de la nueva añada de Finca La Emperatriz Reserva, un gran vino que en su cosecha 2010 recibió 93 puntos Parker.";Finca-La-Emperatriz-Edición-Limitada-Tinto-Reserva-2011;Finca-La-Emperatriz-Edición-Limitada-Tinto-Reserva-2011;Finca-La-Emperatriz-Edición-Limitada-Tinto-Reserva-2011;Finca-La-Emperatriz-Edición-Limitada-Tinto-Reserva-2011;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/f/i/finca-la-emperatriz-edici_n-limitada-reserva-2011-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
9;1;"Marqués de Vitoria Selección de Familia Tinto Reserva 2009 ";2,0;"8,50 ";31;"8,50 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Bodegas La Emperatriz es una de las nuevas estrellas del vino riojano. Recomendamos su Finca La Emperatriz Edición Limitada Reserva 2011, un gran vino de finca, nacido de viñedos viejos y de cosecha Excelente.";"Información generalBodegas La Emperatriz es un proyecto vitivinícola creado hace dos décadas por los hermanos Eduardo y Víctor Hernáiz que, a una velocidad vertiginosa, se ha posicionado como uno de los valores más destacados del panorama del vino nacional. Este exquisito Finca La Emperatriz Edición Limitada Reserva 2011 es una de sus últimas creaciones.  Calificada como Excelente, la cosecha 2011 pasará a la historia como una de las mejores en la D.O.Ca. Rioja. De esta añada nace Finca La Emperatriz Edición Limitada Reserva 2011, un magnífico tinto resultado de la meticulosa parcelación de una finca privilegiado, la Finca La Emperatriz. Bodegas La Emperatriz debe su nombre a Eugenia de Montijo, esposa de Napoleón III y Emperatriz de Francia, poseedora de una finca en Rioja con viñedos excepcionales (en 1878 Eugenia de Montijo fue premiada en la Exposición Universal de París al conquistar al jurado con un vino elaborado en esta finca). En 1996 los hermanos Eduardo y Víctor Hernáiz adquirieron la propiedad, y así comienza a escribirse la historia moderna de Bodegas La Emperatriz.  Su principal baza es la histórica Finca La Emperatriz, situada en Baños de Rioja, entre las sierras de La Demanda y Cantabria, con 101 hectáreas de viñedo que ha sido parcelado con precisión para dar mayor personalidad a cada una de las variedades cultivadas. Una vez en bodega, los hermanos Hernáiz apuestan por una enología de vanguardia y respetuosa con el ‘terroir’. Este Finca La Emperatriz Edición Limitada Reserva es una edición especial de la nueva añada de Finca La Emperatriz Reserva, un gran vino que en su cosecha 2010 recibió 93 puntos Parker.";Marqués-de-Vitoria-Selección-de-Familia-Tinto-Reserva-2009-;Marqués-de-Vitoria-Selección-de-Familia-Tinto-Reserva-2009-;Marqués-de-Vitoria-Selección-de-Familia-Tinto-Reserva-2009-;Marqués-de-Vitoria-Selección-de-Familia-Tinto-Reserva-2009-;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/f/i/finca-la-emperatriz-edici_n-limitada-reserva-2011-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
10;1;"Glorioso Tinto Reserva 2010";2,0;"8,60 ";31;"8,60 ";0;0;0;0;0;10435;;;;;;;;;;;50;1;both;1;;;"Bodegas La Emperatriz es una de las nuevas estrellas del vino riojano. Recomendamos su Finca La Emperatriz Edición Limitada Reserva 2011, un gran vino de finca, nacido de viñedos viejos y de cosecha Excelente.";"Información generalBodegas La Emperatriz es un proyecto vitivinícola creado hace dos décadas por los hermanos Eduardo y Víctor Hernáiz que, a una velocidad vertiginosa, se ha posicionado como uno de los valores más destacados del panorama del vino nacional. Este exquisito Finca La Emperatriz Edición Limitada Reserva 2011 es una de sus últimas creaciones.  Calificada como Excelente, la cosecha 2011 pasará a la historia como una de las mejores en la D.O.Ca. Rioja. De esta añada nace Finca La Emperatriz Edición Limitada Reserva 2011, un magnífico tinto resultado de la meticulosa parcelación de una finca privilegiado, la Finca La Emperatriz. Bodegas La Emperatriz debe su nombre a Eugenia de Montijo, esposa de Napoleón III y Emperatriz de Francia, poseedora de una finca en Rioja con viñedos excepcionales (en 1878 Eugenia de Montijo fue premiada en la Exposición Universal de París al conquistar al jurado con un vino elaborado en esta finca). En 1996 los hermanos Eduardo y Víctor Hernáiz adquirieron la propiedad, y así comienza a escribirse la historia moderna de Bodegas La Emperatriz.  Su principal baza es la histórica Finca La Emperatriz, situada en Baños de Rioja, entre las sierras de La Demanda y Cantabria, con 101 hectáreas de viñedo que ha sido parcelado con precisión para dar mayor personalidad a cada una de las variedades cultivadas. Una vez en bodega, los hermanos Hernáiz apuestan por una enología de vanguardia y respetuosa con el ‘terroir’. Este Finca La Emperatriz Edición Limitada Reserva es una edición especial de la nueva añada de Finca La Emperatriz Reserva, un gran vino que en su cosecha 2010 recibió 93 puntos Parker.";Glorioso-Tinto-Reserva-2010;Glorioso-Tinto-Reserva-2010;Glorioso-Tinto-Reserva-2010;Glorioso-Tinto-Reserva-2010;;;;1;;;1;http://www.vinoseleccion.com/media/catalog/product/cache/1/image/220x445/9df78eab33525d08d6e5fb8d27136e95/f/i/finca-la-emperatriz-edici_n-limitada-reserva-2011-001.jpg;;"Tipo de Vino Blanco,Bodega Pazo de Señorans,Regiones D.O. Rías Baixas,Variedad de Uva 100% Albariño,Enólogo Ana I. Quintela Suárez,Bodeguero Marisol Bueno y Javier Mareque,Tipo de botella Troncocónica,Capacidad (cl) 75,Servicio Degustar a una temperatura de 8º C,Graduación (% vol.) 13";1;new;0;0;0;0;0;0;0;0
