ID,Active,Name,Categories,Price,Tax,"Wholesale price",OnSale,Discount,DiscountPercent,DiscountFrom,DiscountTo,Reference,SupplierReference,Supplier,Manufacturer,Ean13,Upc,Ecotax,Width,Height,Depth,Weight,Quantity,MinimalQuantity,Visibility,AdditionalShippingCost,Unity,UnityPrice,ShortDescription,Description,Tags,Metatitle,MetaKeywords,MetaDescription,UrlRewritten,TextStock,TextBackorder,Avaiable,ProductAvaiableDate,ProductCreationDate,ShowPrice,ImageUrls,DeleteExistingImages,Feature,AvaiableOnline,Condition,Customizable,Uploadable,TextFields,OutStock,IdNameShop,AdvancedStockManagement,DependsOnStock,Warehouse
1,1,"Slim fit suit",3,735,31,735,,,,,,1,,,,,,,,,,,100,1,both,,,,"Super 140s AAAAA wool","Indigo blue suit, micro weaved on virgin wool Super 140s AAAAAby Lanificio F.lli Cerruti, made exclusively for De Fursac 2-button jacket with tailored collar, 2 flap pockets, 1 back vent. Trousers, fastening with visible button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed. Mens suit 100% Super 140s AAAAA virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","Slim fit suit","Slim fit suit","Slim fit suit","Super 140s AAAAA wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i512-32-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i512-32-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i512-32-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i512-32-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i512-32-5.jpg,,,1,new,0,0,0,0,1,,,
2,1,"Slim fit suit",3,695,31,695,,,,,,2,,,,,,,,,,,100,1,both,,,,"Virgin wool flannel","Medium grey Prince of Wales suit in flannel virgin wool 2-button jacket, tailored collar with open buttonhole,open cuff buttonholes,2 flap pockets, 2 back vents. Trousers, fastening with visible buttonand adjustable waist tab, 2 Italian pockets,trouser bottom width 18 cm, finished with a turn-up(it is possible to open the turn-up to lengthen the leg). Mens suit 98% virgin wool, 2% elastaneLining 100% viscose, corozo buttonsDry clean","Slim fit suit","Slim fit suit","Slim fit suit","Virgin wool flannel",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3idda-i528-29-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3idda-i528-29-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3idda-i528-29-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3idda-i528-29-4.jpg,,,1,new,0,0,0,0,1,,,
3,1,"Slim fit suit",3,695,31,695,,,,,,3,,,,,,,,,,,100,1,both,,,,"Super 130s AAAAA wool","Navy blue plain serge suit,Lanificio F.lli Cerruti Super 130s AAAAA virgin wool,made exclusively for De Fursac 2-button jacket with tailored collar,2 flap pockets, 1 back vent.Trousers, fastening with hidden button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed Blue mens suit 100% Lanificio F.lli Cerruti Super 130s virgin woolLining 100% viscose, corozo buttonsDry clean","Slim fit suit","Slim fit suit","Slim fit suit","Super 130s AAAAA wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3mily-n530-31-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3mily-n530-31-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3mily-n530-31-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3mily-n530-31-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3mily-n530-31-5.jpg,,,1,new,0,0,0,0,1,,,
4,1,"Slim fit suit",3,765,31,765,,,,,,4,,,,,,,,,,,100,1,both,,,,"Super 140s AAAAA wool","Carbon blue bird's eye pattern suit in virgin wool Super 140s AAAAAby Lanificio F.lli Cerruti, made exclusively for De Fursac 2-button jacket with tailored collar, 2 flap pockets, 1 back vent. Trousers, fastening with visible button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed. Mens suit 100% Super 140s AAAAA virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","Slim fit suit","Slim fit suit","Slim fit suit","Super 140s AAAAA wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i507-31-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i507-31-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i507-31-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i507-31-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i507-31-5.jpg,,,1,new,0,0,0,0,1,,,
5,1,"3-piece slim fit suit",3,785,31,785,,,,,,5,,,,,,,,,,,100,1,both,,,,"iTravel virgin wool","Carbon blue end-on-end suit in virgin wool ""iTravel""by Lanificio F.lli Cerruti, made exclusively for De Fursac 2-button jacket with tailored collar, 2 flap pockets, 1 back vent.5 button waistcoat, viscose back with tab and metal buckle. Trousers, fastening with visible button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed. Mens suit 100% ""iTravel"" virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","3-piece slim fit suit","3-piece slim fit suit","3-piece slim fit suit","iTravel virgin wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-5.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-f567-31-6.jpg,,,1,new,0,0,0,0,1,,,
6,1,"3-piece slim fit suit",3,785,31,785,,,,,,6,,,,,,,,,,,100,1,both,,,,"Virgin wool","Medium grey 3-piece suit, micro design on virgin wool 2-button jacket with tailored collar, 2 flap pockets, 1 back vent.5 button waistcoat, viscose back with tab and metal buckle. Trousers, fastening with visible button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed. Mens suit 100% virigin woolLining 100% viscose, corozo buttonsDry clean","3-piece slim fit suit","3-piece slim fit suit","3-piece slim fit suit","Virgin wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-5.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-6.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilda-i535-29-7.jpg,,,1,new,0,0,0,0,1,,,
7,1,"Regular fit suit",3,765,31,765,,,,,,7,,,,,,,,,,,100,1,both,,,,"Super 140s AAAAA wool","Carbon blue suit, micro weaved on virgin wool Super 140s AAAAAby Lanificio F.lli Cerruti, made exclusively for De Fursac 2-button jacket, tailored collar with open buttonhole,2 flap pockets, 1 back vent. Trousers, fastening with visible button,2 Italian pockets, trouser bottom width 19 cm, unhemmed. From size 58, the jacket has 2 back ventsand the trouser bottom width is 21 cm. Mens suit 100% Super 140s AAAAA virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","Regular fit suit","Regular fit suit","Regular fit suit","Super 140s AAAAA wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc2ildo-i512-32-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc2ildo-i512-32-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc2ildo-i512-32-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc2ildo-i512-32-4.jpg,,,1,new,0,0,0,0,1,,,
8,1,"Slim fit suit",3,765,31,765,,,,,,8,,,,,,,,,,,100,1,both,,,,"Super 140s AAAAA wool","Medium grey bird's eye pattern suit in virgin wool Super 140s AAAAAby Lanificio F.lli Cerruti, made exclusively for De Fursac 2-button jacket with tailored collar, 2 flap pockets, 1 back vent. Trousers, fastening with visible button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed. Mens suit 100% Super 140s AAAAA virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","Slim fit suit","Slim fit suit","Slim fit suit","Super 140s AAAAA wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i554-29-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i554-29-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i554-29-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i554-29-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ilya-i554-29-5.jpg,,,1,new,0,0,0,0,1,,,
9,1,"3-piece slim fit suit",3,785,31,785,,,,,,9,,,,,,,,,,,100,1,both,,,,"iTravel virgin wool","Mineral blue end-on-end 3-piece suit on ""iTravel"" virgin woolby Lanificio F.lli Cerruti, made exclusively for De Fursac. 2-button jacket with tailored collar, 2 flap pockets, 1 back vent5 button waistcoat, viscose back with tab and metal buckle Trousers, fastening with hidden button, 2 Italian pockets,trouser bottom width 18 cm, unhemmed Mens suit 100% ""iTravel"" virgin wool by Lanificio F.lli CerrutiLining 100% viscose, corozo buttonsDry clean","3-piece slim fit suit","3-piece slim fit suit","3-piece slim fit suit","iTravel virgin wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-4.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-3.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-5.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16ec3digg-f567-32-6.jpg,,,1,new,0,0,0,0,1,,,
10,1,"Double-breasted suit",3,765,31,765,,,,,,10,,,,,,,,,,,100,1,both,,,,"Tasmanian virgin wool","Navy blue double-breasted suit, Tasmanian virgin wool plain serge 6-button double-breasted jacket,peak collar with open buttonhole, open cuff buttonholes,2 flap pockets, 2 back vents. Trousers, fastening with visible buttonand adjustable waist tab, 2 Italian pockets,trouser bottom width 18 cm, finished invisible hem.(it is possible to open the hem to lengthen the leg) Mens suit 100% Tasmanian virgin woolLining 100% viscose, corozo buttonsDry clean","Double-breasted suit","Double-breasted suit","Double-breasted suit","Tasmanian virgin wool",,,,,,,,http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ideo-i502-30-1.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ideo-i502-30-5.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ideo-i502-30-2.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ideo-i502-30-6.jpg;http://www.defursac.net/media/catalog/product/cache/2/image/1090x1500/170ec19af00183b5e0368529fc2daa2f/1/6/16hc3ideo-i502-30-4.jpg,,,1,new,0,0,0,0,1,,,
